,review_tombstone_id,review_url,picker_index,title,score,best_new_music,best_new_reissue
0,/reviews/albums/9232-vesikansi/-0,/reviews/albums/9232-vesikansi/,0,Vesikansi,7.1,0.0,
1,/reviews/albums/22823-elsewhere/-0,/reviews/albums/22823-elsewhere/,0,Elsewhere,7.5,0.0,0.0
2,/reviews/albums/4703-le-tigre/-0,/reviews/albums/4703-le-tigre/,0,Le Tigre,8.5,,
3,/reviews/albums/21978-stranger-to-stranger/-0,/reviews/albums/21978-stranger-to-stranger/,0,Stranger to Stranger,7.2,0.0,0.0
4,/reviews/albums/11996-everyone-is-crying-out-to-me-beware/-0,/reviews/albums/11996-everyone-is-crying-out-to-me-beware/,0,"Everyone Is Crying Out to Me, Beware",7.4,0.0,
5,/reviews/albums/22974-contact/-0,/reviews/albums/22974-contact/,0,Contact,7.9,0.0,0.0
6,/reviews/albums/4373-thank-you-for-giving-me-your-valuable-time/-0,/reviews/albums/4373-thank-you-for-giving-me-your-valuable-time/,0,Thank You for Giving Me Your Valuable Time,6.5,0.0,
7,/reviews/albums/lo-tom-lo-tom/-0,/reviews/albums/lo-tom-lo-tom/,0,Lo Tom,6.2,0.0,0.0
8,/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/-0,/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/,0,Nightclubbing,9.0,0.0,1.0
9,/reviews/albums/830-the-best-of-blur/-0,/reviews/albums/830-the-best-of-blur/,0,The Best of Blur,8.6,,
10,/reviews/albums/19071-nothing-guilty-of-everything/-0,/reviews/albums/19071-nothing-guilty-of-everything/,0,Guilty of Everything,6.9,0.0,0.0
11,/reviews/albums/13695-attention-deficit/-0,/reviews/albums/13695-attention-deficit/,0,Attention Deficit,6.6,0.0,0.0
12,/reviews/albums/wolfgang-tillmans-powell-spoken-by-the-other-ep/-0,/reviews/albums/wolfgang-tillmans-powell-spoken-by-the-other-ep/,0,Spoken By the Other EP,6.8,0.0,0.0
13,/reviews/albums/4353-silver-ep/-0,/reviews/albums/4353-silver-ep/,0,Silver EP,7.9,0.0,
14,/reviews/albums/nabihah-iqbal-weighing-of-the-heart/-0,/reviews/albums/nabihah-iqbal-weighing-of-the-heart/,0,Weighing of the Heart,7.7,0.0,0.0
15,/reviews/albums/21705-untitled-unmastered/-0,/reviews/albums/21705-untitled-unmastered/,0,untitled unmastered.,8.6,1.0,0.0
16,/reviews/albums/22897-drip-mental/-0,/reviews/albums/22897-drip-mental/,0,Drip Mental,6.7,0.0,0.0
17,/reviews/albums/9598-serious-times/-0,/reviews/albums/9598-serious-times/,0,Serious Times,7.5,0.0,
18,/reviews/albums/18114-chris-corsano-bill-orcutt-the-raw-and-the-cooked/-0,/reviews/albums/18114-chris-corsano-bill-orcutt-the-raw-and-the-cooked/,0,The Raw and the Cooked,7.7,0.0,0.0
19,/reviews/albums/7535-touched/-0,/reviews/albums/7535-touched/,0,Touched,7.5,,
20,/reviews/albums/j-balvin-vibras/-0,/reviews/albums/j-balvin-vibras/,0,Vibras,8.0,0.0,0.0
21,/reviews/albums/dominic-fike-what-could-possibly-go-wrong/-0,/reviews/albums/dominic-fike-what-could-possibly-go-wrong/,0,What Could Possibly Go Wrong,6.1,0.0,0.0
22,/reviews/albums/10481-pebbles/-0,/reviews/albums/10481-pebbles/,0,Pebbles,7.0,0.0,
23,/reviews/albums/kevin-richard-martin-sirens/-0,/reviews/albums/kevin-richard-martin-sirens/,0,Sirens,7.4,0.0,0.0
24,/reviews/albums/5821-let-your-shadow-out/-0,/reviews/albums/5821-let-your-shadow-out/,0,Let Your Shadow Out,7.1,,
25,/reviews/albums/17799-way-to-blue-the-songs-of-nick-drake/-0,/reviews/albums/17799-way-to-blue-the-songs-of-nick-drake/,0,Way to Blue: The Songs of Nick Drake,4.7,0.0,0.0
26,/reviews/albums/lil-baby-lil-durk-the-voice-of-the-heroes/-0,/reviews/albums/lil-baby-lil-durk-the-voice-of-the-heroes/,0,The Voice of the Heroes,7.1,0.0,0.0
27,/reviews/albums/12672-emerald-eyes/-0,/reviews/albums/12672-emerald-eyes/,0,Emerald Eyes,6.7,0.0,0.0
28,/reviews/albums/colter-wall-western-swing-and-waltzes-and-other-punchy-songs/-0,/reviews/albums/colter-wall-western-swing-and-waltzes-and-other-punchy-songs/,0,Western Swing & Waltzes and Other Punchy Songs,7.6,0.0,0.0
29,/reviews/albums/11443-brutal/-0,/reviews/albums/11443-brutal/,0,Brutal,5.6,0.0,
30,/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/-0,/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/,0,Superfuzz Bigmuff Deluxe Edition,9.1,0.0,
31,/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/-1,/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/,1,The Lucky Ones,7.2,0.0,
32,/reviews/albums/11497-the-formula/-0,/reviews/albums/11497-the-formula/,0,The Formula,5.7,0.0,
33,/reviews/albums/orbital-monsters-exist/-0,/reviews/albums/orbital-monsters-exist/,0,Monsters Exist,6.0,0.0,0.0
34,/reviews/albums/nils-frahm-old-friends-new-friends/-0,/reviews/albums/nils-frahm-old-friends-new-friends/,0,Old Friends New Friends,6.7,0.0,0.0
35,/reviews/albums/12469-chinese-democracy/-0,/reviews/albums/12469-chinese-democracy/,0,Chinese Democracy,5.8,0.0,
36,/reviews/albums/18209-david-yow-tonight-you-look-like-a-spider/-0,/reviews/albums/18209-david-yow-tonight-you-look-like-a-spider/,0,Tonight You Look Like a Spider,6.5,0.0,0.0
37,/reviews/albums/emily-a-sprague-water-memory-mount-vision/-0,/reviews/albums/emily-a-sprague-water-memory-mount-vision/,0,Water Memory / Mount Vision,8.2,0.0,1.0
38,/reviews/albums/22528-disclosure/-0,/reviews/albums/22528-disclosure/,0,Disclosure,7.9,0.0,0.0
39,/reviews/albums/19833-various-artists-master-mix-red-hot-arthur-russell/-0,/reviews/albums/19833-various-artists-master-mix-red-hot-arthur-russell/,0,Master Mix: Red Hot + Arthur Russell,7.3,0.0,0.0
40,/reviews/albums/17605-october-falls-the-plague-of-a-coming-age/-0,/reviews/albums/17605-october-falls-the-plague-of-a-coming-age/,0,The Plague of a Coming Age,6.2,0.0,0.0
41,/reviews/albums/2558-demon-tracks/-0,/reviews/albums/2558-demon-tracks/,0,Demo(n) Tracks,3.8,0.0,
