,review_tombstone_id,release_year
0,/reviews/albums/9232-vesikansi/-0,2006
1,/reviews/albums/22823-elsewhere/-0,2017
2,/reviews/albums/21978-stranger-to-stranger/-0,2016
3,/reviews/albums/11996-everyone-is-crying-out-to-me-beware/-0,2008
4,/reviews/albums/22974-contact/-0,2017
5,/reviews/albums/4373-thank-you-for-giving-me-your-valuable-time/-0,2003
6,/reviews/albums/lo-tom-lo-tom/-0,2017
7,/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/-0,1981
8,/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/-0,2014
9,/reviews/albums/830-the-best-of-blur/-0,2000
10,/reviews/albums/19071-nothing-guilty-of-everything/-0,2014
11,/reviews/albums/13695-attention-deficit/-0,2009
12,/reviews/albums/wolfgang-tillmans-powell-spoken-by-the-other-ep/-0,2018
13,/reviews/albums/4353-silver-ep/-0,2006
14,/reviews/albums/nabihah-iqbal-weighing-of-the-heart/-0,2017
15,/reviews/albums/21705-untitled-unmastered/-0,2016
16,/reviews/albums/22897-drip-mental/-0,2017
17,/reviews/albums/9598-serious-times/-0,2006
18,/reviews/albums/18114-chris-corsano-bill-orcutt-the-raw-and-the-cooked/-0,2013
19,/reviews/albums/7535-touched/-0,2001
20,/reviews/albums/j-balvin-vibras/-0,2018
21,/reviews/albums/dominic-fike-what-could-possibly-go-wrong/-0,2020
22,/reviews/albums/10481-pebbles/-0,2007
23,/reviews/albums/kevin-richard-martin-sirens/-0,2019
24,/reviews/albums/5821-let-your-shadow-out/-0,2002
25,/reviews/albums/17799-way-to-blue-the-songs-of-nick-drake/-0,2013
26,/reviews/albums/lil-baby-lil-durk-the-voice-of-the-heroes/-0,2021
27,/reviews/albums/12672-emerald-eyes/-0,2008
28,/reviews/albums/colter-wall-western-swing-and-waltzes-and-other-punchy-songs/-0,2020
29,/reviews/albums/11443-brutal/-0,2007
30,/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/-0,2008
31,/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/-1,2008
32,/reviews/albums/11497-the-formula/-0,2008
33,/reviews/albums/orbital-monsters-exist/-0,2018
34,/reviews/albums/nils-frahm-old-friends-new-friends/-0,2021
35,/reviews/albums/12469-chinese-democracy/-0,2008
36,/reviews/albums/18209-david-yow-tonight-you-look-like-a-spider/-0,2013
37,/reviews/albums/emily-a-sprague-water-memory-mount-vision/-0,2019
38,/reviews/albums/22528-disclosure/-0,2016
